,8,16,32,64
0,0.002214,0.001836,3.5e-05,3.4e-05
1,0.001722,0.002392,0.000114,3.4e-05
2,0.005204,0.00056,3.6e-05,3.7e-05
3,0.005168,0.00066,3.7e-05,3.7e-05
4,0.015498,0.003464,3.7e-05,3.8e-05
5,0.002112,0.000901,4.8e-05,3.3e-05
6,0.001939,0.000369,3.5e-05,3.6e-05
7,0.003876,0.000304,3.6e-05,3.5e-05
